filename,category,year,month,day,original source,page number,author first name,author last name,database,troop 53,troop 253,pack 253,ship 153,archive.org url,title,tags
troy_times_record_1941_may_28_memorial_day.pdf,newspapers,1941,5,28,The Times Record,19,,,fultonhistory.com,X,,,,,Service Planned On Memorial Day At East Schodack,memorial day
hudson_ny_evening_register_1944_jun_1_s153_camporee.pdf,newspapers,1944,6,1,"The Hudson, N.Y., Evening Register",4,,,fultonhistory.com,,,,X,https://archive.org/details/hudson_ny_evening_register_1944_jun_1_s153_camporee,Sea Scouts Enjoyed Camporee Near Bridge,"Rip Van Winkle Bridge,jack lowe,hans jenke,george barnes,harold koss,warren howe,dick leonard,lou klesch,chet bridlebeck,don eustice"
troy_times_record_1951_Sep_21_meeting_notice.pdf,newspapers,1951,9,21,The Times Record,16,,,fultonhistory.com,X,,,,,Castleton,"school house,russell conlin"
times_union_1957_jun_11_camperships.pdf,newspapers,1957,6,11,Times Union,6,,,fultonhistory.com,X,,,,,Castleton-Schodack,"russell conlin,fort orange council,stratton mountain,thomas galligan,thomas macrery,kiwanis"
times_union_1957_nov_26_t53_committe_meeting.pdf,newspapers,1957,11,26,Times Union,,,,fultonhistory.com,X,,,,,Castleton-Schodack,"russell colin,gordon ayer"
times_union_1958_feb_13_safety_course.pdf,newspapers,1958,2,13,Times Union,9,,,fultonhistory.com,X,,,,,Castleton-Schodack,"russell conlin,albert bleadow,james van buren,gordon ayer,automotive,bicycle,pedestrian,railroad,farm equipment,safety"
times_union_1958_dec_24_t53_tree_sales.pdf,newspapers,1958,12,24,Times Union,4,,,fultonhistory.com,X,,,,,Yule Tree Sale Funds For Camp,"christmas tree sale,russell conlin,main street"
times_union_1960_feb_3_fete.pdf,newspapers,1960,2,3,Times Union,4,,,fultonhistory.com,X,,,,,Kiwanians to Fete Scout Leaders,"kiwanis,garafalos,charles schermerhorn,albert bleadow,vaughn mudge"
times_union_1960_nov_2_new_scoutmaster.pdf,newspapers,1960,11,2,Times Union,21,,,fultonhistory.com,X,,,,,Maple Hill Teacher To Address Kiwanis,"kiwanis,vaughn mudge,russell conlin"
times_union_1961_feb_1_t53_kwianis_dinner.pdf,newspapers,1961,2,1,Times Union,,,,fultonhistory.com,X,,,,,Boy Scout Salute Today,"kiwanis,garafalos,albert bleadow,vaughn mudge,george prins,george koerner,walter fiebke"
times_union_1963_oct_3_t53_camporee_notice.pdf,newspapers,1963,10,3,Times Union,24,,,fultonhistory.com,X,,,,,Castleton Scouts To Camp-o-ree,"mcknight fire house,camporee,camp rotary,kiwanis"
times_union_1964_sep_15_t53_meeting_notice.pdf,newspapers,1964,9,15,Times Union,4,,,fultonhistory.com,X,,,,,Scout Troop 53 Meets Thursday,"castleton elementary school,camp allen,helderbergs,william monty"
troy_times_record_1964_sep_16_first_meeting.pdf,newspapers,1964,9,16,The Times Record,16,,,fultonhistory.com,X,,,,,Castleton Scouts Meet Tomorrow At Village School,"castleton elementary school,camp allen,helderbergs,football game,william monty"
times_union_1965_feb_8_t53_klondike_derby.pdf,newspapers,1965,2,8,Times Union,13,,,fultonhistory.com,X,,,,https://archive.org/details/times_union_1965_feb_8_t53_klondike_derby,Castleton Tenderfoot Spots Unit To Victory in Helderberg Derby,"klondike derby,billy vadnais,camp allen,fort orange-uncle same council,john vadnais,ravens patrol,chris martin,steve rose,larry bollman,ken russ,mike cory,andy russ"
troy_times_record_1968_jan_27_t253_newspaper_drive.pdf,newspapers,1968,1,27,The Times Record,5,,,fultonhistory.com,,X,,,,Paper Drive Set,"paper drive,earl simpson"
times_union_1968_feb_1_t253_newspaper_drive.pdf,newspapers,1968,2,1,Times Union,4,,,fultonhistory.com,,X,,,,Scouts to Collect Papers,paper drive
times_union_1968_feb_8_t253_newspaper_drive.pdf,newspapers,1968,2,8,Times Union,6,,,fultonhistory.com,,X,,,,Across the River,"paper drive,earl simpson"
troy_times_record_1968_feb_9_t253_newspaper_drive.pdf,newspapers,1968,2,9,The Times Record,21,,,fultonhistory.com,,X,,,,Schodack,paper drive
troy_times_record_1968_mar_16_dinner_annoucement,newspapers,1968,3,16,The Times Record,2,,,fultonhistory.com,X,,,,,"Boy Scout Troop At Castleton Plans Dinner, March 25","methodist church,thomas sparks,michael corey,ronald martin,edward warner,sol golberg,alaska"
times_union_1968_mar_21_t53_dinner.pdf,newspapers,1968,3,21,Times Union,11,Jack,Pietro,fultonhistory.com,X,,,,,Across the River,"paul's methodist church,ronald martin,dinner"
chatham_courier_1968_sep_5_t253_first_meeting.pdf,newspapers,1968,9,5,The Chatham Courier,1B,,,fultonhistory.com,,X,,,,Boy Scout Troop 253,"clove road schoolhouse,paper drive,clam bake,south schodack fire house"
troy_times_record_1968_sep_6_t253_paper_drive.pdf,newspapers,1968,9,6,The Times Record,7,,,fultonhistory.com,,X,,,,Plan Paper Drive,paper drive
times_union_1968_sep_12_t253_newspaper_drive.pdf,newspapers,1968,9,12,Times Union,5,Jack,Pietro,fultonhistory.com,,X,,,,Across the River,paper drive
chatham_courier_1969_apr_24_t253_spagetti_dinner.pdf,newspapers,1969,4,24,The Chatham Courier,B8,,,fultonhistory.com,,X,,,,Scout Supper,"spagetti dinner,south schodack firehouse,paper drive"
chatham_courier_1969_may_8_t253_paper_drive.pdf,newspapers,1969,5,8,The Chatham Courier,A9,,,fultonhistory.com,,X,,,,Paper Drive,paper drive
